cpu_usage,memory_usage,disk_io,network_latency,root_cause
54.96714153011233,63.99355436586002,43.24821725025618,30.92192442122609,Network Issues
48.61735698828815,59.246336829127685,48.55481329284482,41.39614989220498,Memory Leak
56.47688538100692,50.59630369920174,42.075800790000386,45.863944665783556,CPU Overload
65.23029856408026,43.53063222294426,46.9203847036096,68.8768765734019,Memory Leak
47.658466252766644,56.982233136135896,31.063853330462145,55.56553124533758,CPU Overload
47.6586304305082,53.934853854217494,52.13293707372939,36.64518430900109,CPU Overload
65.79212815507391,58.95193220027733,50.012054753622245,54.86036289417637,Memory Leak
57.67434729152909,56.351718016819696,41.82911368931809,34.52696011061634,Network Issues
45.30525614065048,60.49552715319335,56.59245668432405,60.826910538870735,CPU Overload
55.42560043585965,44.64764788439432,59.37570137626558,45.28875348182122,Network Issues
45.365823071875376,63.173940656343255,33.924401356310256,49.06363811260829,Memory Leak
45.34270246429743,51.975996046923996,42.37275221433786,63.2579664754219,CPU Overload
52.41962271566034,70.75260872625265,42.30857650212702,37.1283643141575,Memory Leak
30.86719755342202,43.10812181910432,40.600968988911355,36.02881814887009,Network Issues
32.75082167486967,67.3596380316525,58.294748419317486,44.16400673653995,Memory Leak
44.37712470759027,51.979107834626475,48.06173861227197,60.38378851019317,Memory Leak
39.87168879665576,43.48581996385552,47.35485158689389,34.806539245231576,CPU Overload
53.142473325952736,45.16114165945678,29.961376355932465,21.67844401889431,Memory Leak
40.91975924478789,46.7965269180568,56.35418030209226,45.488411415910015,Memory Leak
35.87696298664709,54.241659464019165,37.60741605146528,55.5174079991092,Memory Leak
64.65648768921554,55.228354880355,50.599326302663286,62.00261749738829,CPU Overload
47.74223699513465,44.26299996061421,52.773769379581914,45.36838637914601,Network Issues
50.67528204687924,49.756454077390174,63.60658595838651,45.885733928839976,Network Issues
35.75251813786544,71.42270358611864,36.91179600880888,61.53900734255747,Memory Leak
44.556172754748175,67.27543170100711,19.804878441791747,31.302583003045793,CPU Overload
51.10922589709866,54.36323669674032,51.83849544753695,46.114792248169906,Memory Leak
38.490064225776976,50.380034781682,68.00511181510853,51.90423889925058,Network Issues
53.75698018345672,51.200313267182615,62.38946352939438,54.49218721285034,CPU Overload
43.99361310081195,56.13517972730416,52.096594152746256,44.901933068091175,Network Issues
47.083062502067236,39.77207434801595,45.08363814367953,50.344410117058416,Network Issues
43.98293387770603,47.42623462576655,58.071225966373106,25.116726465870105,CPU Overload
68.52278184508938,33.314159261224106,40.26453800295531,43.41751587666152,CPU Overload
49.86502775262066,53.992231226052795,54.76357769356219,54.53508712554468,Memory Leak
39.422890710440996,56.47195939702741,55.054701591666266,40.177059657453206,Memory Leak
58.225449121031886,45.16813537700626,60.6020990749888,50.58984221589597,Network Issues
37.791563500289776,65.73986763290033,77.59660038911078,54.46872500802698,CPU Overload
52.08863595004755,37.74234336997659,53.92415967178767,46.57450799142235,CPU Overload
30.403298761202244,35.3562511979018,44.910363742925014,51.70463770996571,Memory Leak
36.71813951101569,52.24451818559972,49.74425687808006,40.372674347153875,Network Issues
51.96861235869123,60.470983026121544,32.30924095110882,47.93388720303953,Network Issues
57.38466579995411,66.83927691457869,43.05286868910942,56.10216169589223,Memory Leak
51.7136828118997,45.4111573713106,45.90717561886896,51.569729609684344,CPU Overload
48.843517176117594,60.78680833431296,44.759116020654076,44.13468730436065,Memory Leak
46.98896304410711,49.61491530499293,51.52354872033722,52.24216404290793,Memory Leak
35.214780096325725,48.273727000591805,41.775800676177994,57.14609790636618,Memory Leak
42.801557916052914,58.83659937486672,61.210306673244716,29.50058721422522,Memory Leak
45.393612290402125,56.5232287841342,50.002070649181974,61.59074064955898,CPU Overload
60.57122226218915,34.236078430157505,49.90699678861385,46.63745261318928,Memory Leak
53.43618289568462,64.76540349725896,46.72105283487082,54.2548993324023,CPU Overload
32.36959844637266,63.800913541474515,51.551906838589794,61.97246923645228,Memory Leak
53.24083969394795,43.74437298490471,58.25098264667635,36.28326302769534,Network Issues
46.149177195836835,53.95803533437409,41.328697842890996,42.90558997572453,CPU Overload
43.23077999694041,54.94030186282739,43.41883510924743,47.11451304124295,Network Issues
56.11676288840868,52.60673765823907,46.96273971223335,42.16246478875571,Memory Leak
60.30999522495951,44.4969484615458,36.54129076526785,67.34936575836808,Memory Leak
59.31280119116199,43.283766320619485,41.807421402785025,41.432279061732075,Memory Leak
41.607824767773614,49.744459290085544,45.23779126455341,44.44453220513133,CPU Overload
46.907876241487855,61.72729019259364,58.74389180712728,52.04389031602977,Network Issues
53.31263431403564,55.43600154594432,52.62561329001925,37.97850473923911,CPU Overload
59.75545127122359,46.29385667913894,51.93589911367545,46.04319288243736,CPU Overload
45.2082576215471,57.716987106483444,58.50897962167972,53.17453261250175,Memory Leak
48.14341023336183,21.514573793699245,48.62628211600603,46.67139595617489,Network Issues
38.93665025993972,61.48765700372103,53.904648499288896,49.06613141100052,Memory Leak
38.037933759193294,32.60286221221901,48.96778247067504,44.70667887551629,CPU Overload
58.125258223941984,46.37559058596868,52.653623493996285,34.85529690819233,Memory Leak
63.56240028570823,38.803301053738565,44.17241342388418,53.215932113392384,Network Issues
49.27989878419666,37.053185242790946,25.61182841723571,67.54933071647241,Memory Leak
60.03532897892024,61.608267873785195,48.65720837813696,50.18401630783438,Network Issues
53.61636025047634,45.32298798688109,64.2274813609994,52.25264117247549,Network Issues
43.54880245394876,53.46503881730716,59.26215402241593,56.92722755116859,Memory Leak
53.61395605508414,49.53079421120816,59.653974845911705,37.30669503453301,CPU Overload
65.38036566465969,54.770408272231215,62.36130721806218,67.02514658129606,Memory Leak
49.64173960890049,50.768218910602556,50.88657590961437,52.02328796422802,CPU Overload
65.64643655814007,37.1700777581143,51.973157074055955,66.3185689908911,CPU Overload
23.802548959102555,59.9626681944714,43.8234810456565,42.66967004476011,Memory Leak
58.21902504375224,45.06243416838687,46.8392714397295,68.18061922557825,CPU Overload
50.870470682381715,34.434181013402494,56.15771149771142,57.75155494034783,CPU Overload
47.009926495341325,45.718848390340874,62.038844371688164,55.530400858523585,Memory Leak
50.91760776535502,65.00759790634311,48.60553724319001,52.34024454353148,Memory Leak
30.124310853991073,58.50221742113493,45.498107351485885,47.514713819255505,Memory Leak
47.80328112162488,46.51347865592141,50.005279588565976,62.00531658473872,CPU Overload
53.57112571511746,46.50742295681571,56.01206748929115,51.40359869848047,Network Issues
64.77894044741517,46.783649487826175,35.56145183866458,30.329302964128477,CPU Overload
44.81729781726352,70.76747983560841,27.03819046862762,38.82813538292997,Network Issues
41.91506397106812,53.819354522315535,44.494631505084165,48.14154247807253,Memory Leak
44.982429564154636,54.300416471910694,37.79287574085841,53.09998983165555,Network Issues
59.15402117702074,60.30283454031842,44.91859802352689,49.43411511100104,Memory Leak
53.287511096596845,52.387891590265134,48.52219681182528,62.18970789793663,Memory Leak
44.70239796232961,47.40957854179297,45.467515909769865,30.488981359613753,Network Issues
55.13267433113356,48.03650150915022,64.52467534470745,51.435879365051605,Memory Leak
50.9707754934804,49.283987405859364,53.2674476460232,31.820207746128453,Network Issues
59.68644990532889,49.627777634901584,53.004743596108284,57.59712295484168,Memory Leak
42.979469061226474,57.2762954363698,56.22207144043402,49.05541285557997,CPU Overload
46.723378534022316,50.519458858072994,38.61166882219231,54.19609972024118,CPU Overload
46.078918468678424,57.32640077215579,60.391117874202685,41.36117039410234,Memory Leak
35.364850518678814,49.19283419891418,49.2423571346454,62.79464931657751,Memory Leak
52.96120277064576,50.786351903160906,56.70480617241213,60.417246640588516,Network Issues
52.610552721798896,30.017993154678923,39.28142766959844,55.835443030118874,CPU Overload
50.05113456642461,59.16327674702482,34.46241233983936,48.704827531365595,Network Issues
47.65412866624853,53.46488475897993,58.17889658025029,55.798572852951324,Memory Leak
35.84629257949586,59.98010109859652,53.76409526097517,42.93107432012651,Memory Leak
45.79354677234641,21.037446218063106,40.9794844564249,58.55555659020712,Network Issues
46.572854834732304,70.88374704780728,41.303369187253054,66.4948089432392,Memory Leak
41.97722730778381,48.604103718448265,61.254347844147695,60.70610559979186,CPU Overload
48.387142883339905,61.081828167375164,38.10588107132672,42.70397530192591,Network Issues
54.040508568145384,39.60094072874469,66.42672953255963,53.61417317273103,CPU Overload
68.8618590121053,56.1277390506257,40.99379265352131,37.06858456241352,CPU Overload
51.74577812831839,39.46584436826344,56.38391925608383,55.723903111756755,CPU Overload
52.57550390722764,43.76231039304195,46.71381524251015,54.50603412862539,Network Issues
49.25554084233833,69.14031353866787,56.03187431082343,31.30183660467836,Memory Leak
30.812287847009586,48.09317599236653,44.558859978858074,38.38216156087636,CPU Overload
49.73486124550783,52.17432873179723,48.37207093927706,47.16861103256233,CPU Overload
50.60230209941027,58.70067730688754,50.40919175395721,46.991402528591735,CPU Overload
74.63242112485287,54.95681887972604,39.978125442185274,37.90523064581195,Memory Leak
48.076390352188774,51.504189051435766,57.408243454201255,53.889787293521834,Memory Leak
53.015473423336125,53.64961002466225,44.867864335284146,52.51473608940512,Network Issues
49.65288230294757,74.03415585238275,47.714000846599816,48.05730868021481,Memory Leak
38.31321962380468,49.42381202966415,40.056506253914876,42.44208499841637,Network Issues
